mistreat хозяйка
overprize переоценивать
palatine пфальцграф
feed-back обратная
woeful скорбный
anti-inflation предлагаемые
dapple-bay гнедой
mollify смягчать
phonogram фонограмма
everyman обыкновенный
chaser преследователь
quarterage расквартирование
wall-eye бельмо
nathan натан
cottage коттедж
unmoved неподвижный
shred лоскуток
serpent змея
eld старина
melon дыня
elf чрезвычайно
wage-worker пари
khalifa хамсин
manicurist маникюрша
propraetor пропретор
intrusive назойливый
motorcade автоколонна
ell мера
minister министр
billhook бильярдный
elk лось
en- en-
need надобность
vexed раздосадованный
elm вяз
shrew землеройка
time-study хронометраж
shoemaker сапожник
typewriter пишущая
crucify распинать
stabling конюшня
packing-needle упаковочная
predecease смерть
westernize насильственно
nefarious нечестивый
canada канада
zambezi р
injurant вещество
mettlesome смелый
albion альбион
errant странствующий
taximeter таксометр
ema ассоциация
neuter средний
pyretic лихорадочный
ejection изгнание
staggerer сильный
hardly едва
emi радиопомехи
lip-labour слова
metaphysical метафизический
news-boy газетчик
rufous красновато-коричневый
emm эм
catsup место
saleslady продавец
emp электромагнитный
ems расширенная
push-up зарядка
barbie барбитурат
emu электромагнитная
outmatch превосходить
emt среднеевропейское
ranchman прогорклый
rigidity жесткость
parent-in-law свёкор
paucity малочисленность
precisely точно
percolation просачивание
strand берег
cartage гужевая
deathly смертельный
yegg взломщик
constituent составная
meretricious показной
end конец
packed упакованный
trencher солдат
declarant тот
masticator тот
sordine сурдинка
unquote закрывать
bathos глубина
forty сорок
preoccupation занятие
cremation кремация
aplomb апломб
sea-bathing купание
monotint рисунок
brush-fire локальная
orlop-deck сплав
hippie хиппи
ens кормовой
flapdoodle глупости
impermeability непроницаемость
molucca молуккские
forum форум
contempt презрение
untruth неправда
kuwaiti кувейтский
pulpit кафедра
fulminate сверкать
figurative фигуральный
under-the-table тайный
platelet тромбоцит
pronounce объявлять
light-head легкомысленный
eof конец
reproduction воспроизведение
loafer бездельник
discretionary предоставленный
airsickness воздушная
dun-bird нырок
education образование
referable могущий
baresark блевать
body-snatcher похититель
eon предполагаемое
rajput раджпут
adjacency соседство
togetherness близость
depersonalize лишать
liberate освобождать
androgyne гермафродит
four-seater четырехместная
self-communion размышление
aspire стремиться
gradually постепенно
swaddling-bands свивальники
gin-mill пивная
epa управление
aryan арийский
abrasive абразивный
heeltap набойка
salt-water морской
superphosphate суперфосфат
wearable предмет
fleeting быстрый
pathogenic патогенный
excretory выводной
homoeopath гомеопат
momentous важный
ept налог
ceil покрывать
forte сильная
forth р
keyed снабженный
reinforced железобетон
back-slapping покровительственное
juratory клятвенный
cymric уэльсский
valet слуга
celt кельт
nell нел
flea-bite блошиный
affright испуг
cell ячейка
islet островок
ash-stand пепельница
sandstone песчаник
turps бирюза
exceptive составляющий
valid действительный
albino альбинос
era поправка
immedicable неизлечимый
vacillate колебаться
melodramatic мелодраматический
plasterboard штукатурная
ere до
picnicker участник
erg эрг
euphrasy очанка
resplendency блеск
err ошибаться
postpostscriptum второй
showpiece экспонат
brother-in-law зять
dispel разгонять
free-born свободнорожденный
weighing взвешивание
overprint печатать
mechlin брабантское
beefcake образец
esa европейское
low-powered маломощный
particularistic частный
resplendence блеск
awfully ужасно
ese восток
pangolin ящер
sandman дрема
portative держатель
sagittal стреловидный
esq эсквайр
esp экстрасенсорное
ess электронная
insuperability непреодолимость
cent цент
esu электростатическая
est восточное
knitting-machine вязальная
whichsoever ржать
perception восприятие
clericalism клерикализм
undertake предпринимать
eta расчетное
ubiety местонахождение
etd расчетное
clericalist комическое
scatty сумасшедший
unexecuted невыполненный
uncorroborated неподтверждённый
boaster хвастун
belgium бельгия
off-load разгружать
knitwear вязаные
alphabetical алфавитный
charlatan шарлатан
below ниже
ets электронная
etv учебное
summerry летний
bluesly относящийся
estate сословие
magistral преподавательский
perchloric хлорная
light-legged легкомысленный
quackery шарлатанство
airily воздушно
chain-stitch тамбурная
weren оборотень
rigorous суровый
yelk пронзительный
foretell предсказывать
yell кричать
nightingale соловей
secular вековой
therefor за
sea-letter охранное
amusement развлечение
charivari шум
obsolescense устаревание
pretty-pretty слащаво
ferocity дикость
adroitness ловкость
reallocate перераспределять
harden делать
umbellate зонтичный
eva работа
breath-test проверка
islam ислам
eve ева
tousle ерошить
furnace-charge загрузка
airing проветривание
memorize запоминать
atrium атрий
errata список
render оплата
stratosphere стратосфера
derange приводить
xylography ксилография
androgyny гермафродитизм
contemporaneity современность
terrene земной
unmitigated несмягченный
neon неон
teasel ворсянка
evx электронный
endeavor попытка
strawy соломенный
bluebottle василек
unescorted несопровождаемый
adjacent примыкающий
autism аутизм
pricking прокалывание
forme составитель
micelle мицелла
ewe овца
regnant царствующий
micella мицелла
impartible неделимый
borrowing одалживание
incuriosity отсутствие
revolve вращать
teaser любитель
medulla костный
summon вызывать
talkative разговорчивый
bobble кисточка
inductive индуктивный
belgian бельгийский
forehanded своевременный
sheave шкив
distillatory очищающий
nero нерон
circumambient окружающий
cert свидетельство
commodore коммодор
argufy спорить
dyeing крашение
capful полная
meadowy луговой
leisurewear одежда
feckless беспомощный
hoarhead седой
pharmaceutist фармацевт
merioneth мерионет
nerd тупица
beestings молоко
evanescence исчезновение
palatial дворцовый
phonograph фонограф
conclusive заключительный
gas-shelter газоубежище
psychokinesis психокинез
convocation созыв
exx примеры
love-lies-bleeding амарант
withers холка
calaboose тюрьма
pole-ax боевой
eye глаз
sizzle шипение
double-header поезд
envelope конверт
himself себя
microsecond микросекунда
impermissible недопустимый
glaring яркий
pot-house пивная
mixer смеситель
cere восковина
ecstasize приводить
holiday-maker гуляющий
sennit плетенка
algid холодный
titulary шестипенсовая
carriage-way проезжая
icelandic исландский
bearish медвежий
beguiling привлекательный
super-film супербоевик
improvise импровизировать
chaff-cutter соломорезка
cerumen ушная
incontinently несдержанно
shiner бриллиант
panmixia беспорядочное
default невыполнение
knowledgeable хорошо
gray хариус
drunken пьяный
beverage напиток
caledonian шотландский
cissy девочка
exaction настоятельное
neth нидерланды
charity-school приют
thievish вороватый
magnesia окись
agrostology учение
stethoscope стетоскоп
dead-alive безжизненный
wages-fund фонд
frisky резвый
falcated серповидный
ness мыс
gram грамм
impoverishment обеднение
shindy шум
black черный
gran бабушка
hedge-hopper штурмовик
nest гнездо
pre-admission предварение
lineman линейный
night-long продолжающийся
pettifogger крючкотвор
exacting требовательный
retract втягивать
comprovincial того
evidential основанный
livery темно-каштановый
unpriced без
describe описывать
grab внезапная
grad дипломированный
personation выдача
battered избитый
incorporation объединение
presently вскоре
wealthy богатый
knickers дамские
pettish обидчивый
capercailye глухарь
flint-hearted жестокосердный
eye-tooth глазной
fatuous глупый
water-main водопроводная
seed-fish нерестующая
neva р
refresher что-л
incomplete неполный
furniture мебель
neve фирн
carotin каротин
thailand таиланд
extirpator искоренитель
statehood статус
supervene происходить
inarticulate нечленораздельный
moorish мавританский
grubbiness неряшливость
chaparral чапарель
hobbledehoy неуклюжий
trisyllable трехсложное
baroque барокко
transcontinental пересекающий
bobbie бобби
terry-cloth махровая
unbridled разнузданный
weather-stained выцветший
test-mixer мензурка
eradicate вырывать
trumpet труба
bobbin катушка
custom-made подлежащий
undraw открывать
clothing одежда
fall-guy козел
tamarind тамаринд
christmassy рождественский
next следующий
slipsole стелька
overpopulation перенаселенность
scurrility грубость
retrain переобучать
great-hearted великодушный
watering-can водопой
submit подчинять
undertow отлив
trisyllabic трехсложный
evergrowing постоянно
snatch хватание
summit вершина
button пуговица
conclusion окончание
admissible допустимый
regelate смерзатьс
snapdragon львиный
go-round обход
memorial памятник
voiced звонкий
ragwort ура
undoing уничтожение
geomagnetical магнитное
slave-holder рабовладелец
julep сироп
news новость
hurley ирландский
phosphoresce фосфоресцировать
newt тритон
headgear головной
crucible тигель
octarchy октархия
smutch грязный
grey серый
septum перегородка
vakil представитель
arable пахотный
icelander исландец
sensation ощущение
guiltily виновато
disharmonize дисгармонировать
dining-room столовая
acridity острота
stipple работа
tholepin томас
attempted неудавшийся
obverse лицевая
braggery хвастовство
play игра
betterment улучшение
elbe р
fab потрясающий
cock-sure вполне
faa федеральное
fad прихоть
underwrite подписывать
gabled остроконечный
trip-hammer падающий
fag тяжелая
slapjack блин
fai международная
wisecrack удачное
scapular лопаточный
arteriosclerosis артериосклероз
bittern выпь
fan веер
clear-starch крахмалить
fao организа-
far повсюду
bitters горькая
faq справедливое
fat таблица
fas франко
behoof польза
crural бедренный
operating-room операционная
plat небольшой
fax факсимиле
half-and-half смесь
plan план
deliquescent растворяющийся
fay вера
auscultate выслушивать
careerist карьерист
personalia рассказы
petting нежничанье
catenation сцепление
physiology физиология
bobbed коротко
rendering перевод
fbi федеральное
shram приводить
continuant фрикативный
snathe привлекательный
telecasting телевизионный
nursling воспитание
g-man агент
acquaintanceship знакомство
snakebite укус
aeriform воздушный
cheek-tooth коренной
so-and-so такой-то
uncontrollable неудержимый
decontaminate обеззараживать
elan стремительность
bobber поплавок
kantian кантианский
elated окрыленный
substantiality реальность
widget штучка
bookstand книжный
bomber бомбометатель
non-intervention невмешательство
fcc федеральная
pensive задумчивый
rabbit-fever туляреми
connexion связь
piety благочестие
algal относящийся
directing-post дорожный
supermarket большой
julia джулия
arabic арабский
busyness занятость
tragic трагический
penetrable проницаемый
physician врач
melee рукопашная
mesmeric гипнотический
samphire критмум
stardom ведущее
wholewheat приготовленный
burner топка
grin оскал
fda управление
grip схватывание
bating за
corroborative укрепляющий
grit песок
bronchitis бронхит
field-house раздевалка
biennial двухлетний
layer-cake слоеный
mercerize мерсеризовать
vandal вандал
toppingly великолепно
ballistics баллистика
embarrassingly ошеломляюще
unthrifty небережливый
fdm частотное
recherche отборный
staggering ошеломленный
title-page титульный
pierage плата
criticize критиковать
duralumin дюралюминий
wanton резвый
fdr франклин
poverty-ridden бедствующий
grid утечка
pleased довольный
behold видеть
carman возчик
dominance господство
economic экономический
grim жестокий
constrainedly поневоле
turtle-shell тосканский
feb февраль
fea анализ
fed федерация
retrace проследить
connatural врожденный
schooldays школьные
fee гонорар
tamilian тамильский
malignant злостный
megatherium мегатерий
fen болото
fem женский
disassemble разбирать
fet федеральный
barkery дубильный
tuberculous туберкулезный
half-year полгода
presentee получатель
archly игриво
few немногие
airplay трансляция
antechamber передняя
fez феска
fey обреченный
phoebe феба
bookstall книжный
spermatozoon сперматозоид
elem элементарный
habitue завсегдатай
strain натяжение
licence разрешение
tittlebat колюшка
gruesome ужасный
presenter податель
jim-crow негр
suffragette суфражистка
didder обманывать
officinal лекарственный
water-carrier водонос
elec электричество
flagellate бичевать
oscillograph осциллограф
plea мольба
shinny вид
choleric раздражительный
strait пролив
nutrition питание
oiler смазчик
adalbert адальберт
hunger-march голодный
invigorate давать
personally лично
outside наружная
passer-by прохожий
detente разрядка
climatology климатология
oiled пропитанный
state-aided получающий
fga свободно
politics политика
tamarisk тамариск
stigma выжженное
pathology патология
apsis апсида
crucial решающий
unveil снимать
viscid вискоза
figuration вид
crucian карась
generator производитель
lead-in ввод
radiosensitive чувствительный
reappraise пересматривать
candidate кандидат
otiosity специалист
cognizant знающий
netting плетение
structural структурный
mercery шелковый
moon-lander летательный
laryngitis ларингит
strafe атака
unbounded неограниченный
temperature-curve кривая
lawyer юрист
spellbinder оратор
butter масло
dismemberment расчленение
ratchet храповик
agglomerate агломерат
iceland исландия
infracostal подреберный
kerosene керосин
shop-steward цеховой
starboard правый
inconstancy непостоянство
fizzle шипящий
sheepshank колышка
deformity уродливость
politico политикан
fib выдумка
unabridged полный
brimstone сера
fid клин
unbound свободный
fie фу
fig винная
peccable грешный
greeting приветствие
parodist пародист
unbuttoned расстегнутый
fin плавник
mettled ретивый
germanium германий
fio погрузка
fir пихта
mutiny мятеж
fit припадок
univalve одностворчатый
fix укреплять
interrelationship взаимная
periphrastic изобилующий
rice-water рисовый
pension пенсия
decohere декогерировать
raunchy сексуальный
preparatory приготовительный
tittle мельчайшая
grot гротеск
ferry-boat паром
grow расти
shrink сокращать
natalia наталия
locality местность
licentious распущенный
natalie нэтали
counterscarp контрэскарп
shrine рака
foolery дурачество
folksy близкий
grog грог
corinth коринф
cuckoo кукушка
fibred волокнистый
lay-over салфетка
bookmobile передвижная
coconut-tree кокосовая
paganize обращать
verdurous заросший
haunter постоянный
self-motion самопроизвольное
vaulting-horse гимнастический
chuddar шерстяная
inscribe надписывать
nutritive питательное
nffe национальная
bystander свидетель
excitable легко
plicate складчатый
appendicitis аппендицит
death-roll список
radiancy сияние
germanism немецкий
sagamore шалфей
intimacy тесная
aground сидящий
churchwarden церковный
selenium селен
experimentation экспериментирование
popularity популярность
trickery надувательство
unfruitful неплодоносящий
bargeman бариевый
fla флорида
tear-sheet рекламное
abandonment оставление
busy-body хлопотун
radiance сияние
misapply неправильно
two-bladed двухлопастной
charge кредитная
tombstone надгробный
tawny рыжевато-коричневый
flo фло
flu грипп
sluice-gate шлюзные
fly муха
forgery подлог
ella элла
localism местные
fennel фенхель
fmb федеральное
gibbosity горбатость
burgeon бутон
freely свободно
encode кодировать
expenditure трата
knickerbockers бриджи
hobble прихрамывающая
shear-legs временная
grub личинка
circumlocutory многословный
dropsy водянка
schism схизма
arterial артериальный
two-edged обоюдоострый
negroid негроидный
schist аспидный
indescribable неописуемый
unworkable неприменимый
florentine флорентийский
ill-advised неблагоразумный
showtime время
garment предмет
hurdling барьерный
sailing-master штурман
criticism критика
colonizer колонизатор
needy нуждающийся
perturb возмущать
bankable принимаемый
specious благовидный
coriaceous кожистый
birth-place место
droningly монотонно
vice-minister товарищ
blight болезнь
front-pager сенсационная
show-girl статистка
snooper выслеживающий
fibril тонкое
piece кусок
tone-arm звукосниматель
fob кармашек
popularize популяризировать
unwed невенчанный
vexing раздражающий
foc бесплатно
fibrin фибрин
personalty движимое
foe враг
oil-coat дождевик
fog густой
bloating надувшийся
christening крещение
fol следующий
rubber-stamp штамп
fop фат
notionalist мыслитель
devilry черная
for франко-рельс
committee-man член
lamentable прискорбный
over-persuade переубеждать
fot франко-железнодорожная
loneliness одиночество
twilight сумерки
fox лисица
mustache мустанг
plow уловка
plug-hat штепсельный
wholemeal непросеянная
winding-sheet саван
legionnaire легионер
titter хихиканье
oread ореада
alert тревога
plot участок
shrive исповедовать
fpc федеральная
two-handed двуручный
self-cocker пистолет-самовзвод
excoriation сдирание
digital цифро-аналоговый
fpm футов
potion доза
cd-rom компакт-дисковое
thwart банка
fpo военно-полевая
pepper-caster вест-индское
stevedore портовый
thence оттуда
plod тяжелая
cowberry брусника
splice сплесень
aldermanry звание
deposition свержение
fps футов
plop звук
castle-builder фантазер
chaucerian чосеровский
conserve сохранять
skiborne передвигающийся
phantasy фантом
roadie администратор
connotate дополнительное
formalize оформлять
front-line линия
photomicrography микрофотография
mnemonics мнемоника
playhouse театр
pathologist патолог
phantasm фантом
burgess гражданин
spirit-rapping столоверчение
feather перо
forceful сильный
mis-spell делать
welfare благосостояние
flatting прокатка
flourish размахивание
egg-shaped яйцевидный
easily легко
frg федеративная
off-hand импровизированный
insomuch настолько
fri пятница
soother льстец
likely вероятный
unbroken неразбитый
frs федеральная
lingual язычный
frt груз
convolvulus вьюнок
jet-black черный
quick-fence живая
caudate хвостатый
doorway дверной
fry мелкая
oilman москательщик
remarriage вступление
sadism садизм
certification удостоверение
ill-natured дурного
siliceous кремнистый
lively живой
pimpled прыщеватый
dratted проклятый
freeholder фригольдер
sadist садист
countermine контрмина
crack-brained слабоумный
pantryman буфетчик
annoying раздражающий
fretwork резное
indulgently снисходительно
tourer туризм
longanimity долготерпение
uliginous илистый
oversize больше
machine-minder рабочий
mis-spent растраченный
fss федеральная
majestic величественный
grader сортировщик
crooner эстрадный
disposal расположение
earth-shine пепельный
settlement поселение
recede отступать
caernarvon карнарвон
wool-gathering рассеянность
ftc федеральная
mis-spend неразумно
paganish языческий
graded адаптированная
profligacy распутство
anaerobe анаэроб
building-paper облицовочный
explicable объяснимый
personify персонифицировать
centipede многоножка
delight удовольствие
encore бис
hanger-on прихлебатель
ftl быстрее
proficient искусный
charon ладья
continuum континуум
fts федеральная
mentality ум
suggestion совет
conglomerate конгломерат
tear-shell снаряд
sunblock солнцезащитный
lantern фонарь
paganism язычество
impromptu экспромт
pergola беседка
disposition расположение
placet голос
topfull полный
dregs подонки
placer золотой
otherness различие
scavenging уборка
fug духота
splint осколок
opencast добытый
duumvirate дуумвират
fun шутка
dilatory медленный
malodorous зловонный
fur мех
badger-drawing искусственная
life-span продолжительность
incoagulable несвертываемый
placid спокойный
genially сердечно
vicuna викунья
locket медальон
contentment удовлетворенность
locker запирающийся
laudable похвальный
second секунда
inelastic неэластичный
mutism немота
splendiferous прекраснейший
vengeful мстительный
infidel атеист
billeting квартирьер
homogenize гомогенизировать
maternity материнство
natterjack жаба
sufficient достаточный
asexual бесполый
cabling укладка
rejuvenation омоложение
fasten прикреплять
pay-sheet платежная
cruciate крестообразный
plum слива
elucidatory избегать
incertitude неуверенность
author автор
apologia апология
deep-fry жарить
formality соблюдение
chechoslovakian препятствие
plus знак
bomb-proof непробиваемый
well-travelled много
hygienics принципы
license разрешать
rectorial ректорский
freezing-point точка
dream сон
bang-up первоклассный
suggestive вызывающий
plug пробка
buggery содомия
clownish шутовской
drear мрачный
hot-pot тушеное
pensile висячий
up-river находящийся
tireless неутомимый
formalism формализм
palatinate палатинат
elopement тайное
panic-stricken охваченный
mixed смешанный
troposphere тропосфера
formalist формалист
middlemost ближайший
dazedly изумленно
eel-spear трезубец
berserker бешенство
candidacy кандидатура
somehow как-нибудь
partying гулянка
wrecking разрушение
religiousness религиозность
incarceration заключение
mysore майсур
headset головной
ill-fitting неподходящий
schooled выученный
upstroke черта
walnut грецкий
nigrescence почернение
babylon вавилон
meadow-grass мятлик
undergrowth подлесок
be-all самое
fyi для
breathing-space передышка
diagonal диагональный
kisser тот
monophase однофазный
transmute превращать
rocker качалка
catacomb подземелье
subversive разрушительный
weight-lifter гиревик
nation народ
readily охотно
stepping-stone камень
registered зарегистрированный
convenience удобство
downfall падение
discipline дисциплина
cinque название
molly-coddle неженка
extremely чрезвычайно
freeze замерзать
tussive кашлевой
ear-flaps наушники
continuos оценка
cuticle кутикула
rowing-boat гребная
rocked беспечный
ringlet колечко
parotitis воспаление
recent недавний
sinologist китаист
insanity умопомешательство
bagatelle пустяк
blindness слепота
redwood красное
currish дурно
bather купальщик
allowance годовое
bella белла
eating-house дешевый
apologue нравоучительная
abortionist подпольный
javanese яванский
attorney поверенный
freddie фредди
fujiyama фудзияма
belly живот
serenity ясность
teethridge альвеолы
confection сласти
skeletal скелетный
martyrize мучить
title-holder чемпион
decollation обезглавливание
innermost лежащий
davenport небольшой
exility тонкость
croquet крокет
saltern солеварня
exporter экспортер
defunct умерший
unfunny несмешной
insulating изоляционный
planetarium планетарий
belle красавица
crawly испытывающий
chromatic цветной
nightcap ночной
lecherous распутный
inoccupation незанятость
flash-light сигнальный
word-play игра
intern студент
toffee ириска
horseplay грубое
ideally идеально
long-distance дальний
cement цемент
bedaub запачкать
turfite завсегдатай
chanterelle лисичка
hanky-panky обман
rectifier ректификатор
stoneware керамические
unfaithful неверный
consequent логически
concuss сотрясать
censorship цензура
parricidal отцеубийственный
commercial торговый
alpenstock альпеншток
spider-web паутина
loader грузчик
cinema-circuit кинотеатры
kalmyk р
secretaire секретер
flunkey ливрейный
loaded игральные
relegate отсылать
ambiguity двусмысленность
direful ужасный
unpolluted незагрязнённый
lakelet озерко
bread-ticket хлебная
cryolite криолит
sowbread дикий
tram-car трамвай
passage-way коридор
niblick клюшка
forgo отказываться
lightning-like молниеносный
otherwise-minded инакомыслящий
puppet-play кукольный
pappus хохолок
griffith гриффит
outreach программа
redintegrate восстанавливать
verjuice кислый
tyke дворняжка
wimble бурав
recluse затворник
rape-oil сурепное
clique клика
recess перерыв
failure неуспех
forge кузница
spidery паучий
stiff-necked упрямый
valiant храбрый
avouch уверять
bolster валик
nutritional относящийся
under-shirt нижняя
landowner землевладелец
tontine тонтина
oestrus овод
sorority университетский
catsuit узкий
pocket-piece монетка
thwack сильный
apron передник
gab болтливость
gad ну
in-calf стельная
oestrum овод
salt-cellar солонка
gag затычка
perpetuate увековечивать
true-hearted искренний
nummulary денежный
osmosis осмос
gal девчонка
ironware железный
eustace юстас
catapult метательная
destitute лишенный
gap брешь
gas газ
neology неологизм
slavophil славянофил
gat револьвер
unregistered незарегистрированный
gaw гарантированная
polymorphous полиморфный
permanganic марганцовая
gay весельчак
shriek пронзительный
tumultuous возбужденный
fowler птицелов
reading чтение
peafowl павлин
belie оболгать
abstersion очищение
self-coloured одноцветный
corrigible исправимый
oblational жертвенный
promiscuous разнородный
effervesce выделяться
night-chair судно
bankrupt банкрот
inbred рожденный
superincumbent лежащий
milk-float тележка
cockerel петушок
gca управляемое
nobble испортить
gcc наземный
annihilation уничтожение
gce аттестат
southwestern юго-западный
arnica арника
brigadier бригадир
fruitful плодовитый
respiration дыхание
type тип
april апрель
foray набег
tottering нетвердый
belay заводить
jack-screw винтовой
ontario онтарио
stagecraft мастерство
capriole прыжок
gct гринвичское
madagascar мадагаскар
waterspout водяной
cayenne красный
poolroom помещение
fore- fore-
laurel лавр
erratum опечатка
veracity правдивость
nutter псих
pleuritic плевритный
pearl-fishery добывание
iconography иконография
gdn парк
gdr германская
timeliness своевременность
scrooge скряга
shrift исповедь
gds товары
undersea подводный
cooling охлаждение
unemployment безработица
emersion появление
emotionless неэмоциональный
belch отрыжка
force сила
preschool дошкольный
localize локализовать
sircar индийское
scorify шлаковать
suffuse заливать
caprice каприз
gee но
seismology сейсмология
barbed имеющий
boogie танцевать
crotcheteer фантазер
tambour барабан
gem драгоценный
sedentary сидячий
tyre колесный
utilitarianism утилитаризм
gel гель
clasp-knife складной
barbel усач
gen разведывательные
marketer специалист
virulent ядовитый
ger немецкий
tardigrade медленно
hundredweight центнер
sabotage саботаж
get получать
tuck-in основательная
sewing набор
statist статистический
barber парикмахер
power сила
beeswax воск
sea-craft морские
yielding уступчивый
table-shore ровный
uncomplicated несложный
industrious трудолюбивый
continued непрерывный
transformation превращение
caravanserai караван-сарай
massive массивный
ravioli равиоли
sanscrit санкюлот
emeu электродвижущая
yachtswoman яхтсменка
radio-therapy радиотерапия
germanize германизировать
dress платье
unyielding твердый
tussock-moth индийский
hindrance помеха
hostel общежитие
circe цирцея
shrike сорокопут
cariboo карибу
circa приблизительно
triphthong трифтонг
presentable приличный
caribou карибу
circs обстоятельства
welcoming гостеприимный
collation сличение
criminal преступный
themis фемида
cow-boy ковбой
sightly красивый
inter- inter-
gha горная
curious любопытный
smoke-consumer дымопоглощающее
lacedaemonian спартанский
stalagmite сталагмит
stranded сидящий
lordliness великолепие
sphenoid клиновидный
arcing искрение
foot-note подстрочное
old-time старинный
replay переигрывать
debouch выходить
video-based основанный
insulation изоляция
tyro тироль
kindergarden детский
demotic народный
questionless несомненный
ghz гигагерц
wide-spread широко
laryngology ларингология
rootlet корешок
gleanings собранные
overside грузящийся
poor-box кружка
traffic-light светофор
wader болотная
fitful судорожный
gib кот
shrimp креветка
anatomic анатомический
gig кабриолет
billy-goat козел
regret сожаление
snowdrop подснежник
gij женщина-солдат
starchy крахмалистый
driftage снос
underset подводное
gil гил
cork-screw штопор
gin графический
fatigue-party рабочая
historicity историчность
git мерзавец
peeling корка
omnibus омнибус
subdivide подразделять
salient выдающийся
tradespeople купцы
asynchronous асинхронный
ground-hog сурок
matriarchy матриархат
tick-tack-toe игра
station место
continual постоянный
diablerie чертовщина
flagman сигнальщик
shrill пронзительный
factory завод
netherworld ад
inactivity бездеятельность
pentameter пентаметр
sportswear спортивная
aerie гнездо
follow следовать
diabase диабаз
intent намерение
aquafortist офортист
floorer сногсшибательный
trireme трирема
ascendancy власть
subversion ниспровержение
astute хитрый
appointive замещаемый
emit испускать
intend намереваться
emir эмир
flicker мерцание
analyse анализировать
dibhole зумпф
perceptional перцепционный
untwine распутывать
chaffer спор
glaswegian относящийся
hiccup икота
emma эмма
indumentum оперение
proffer предложение
dilatable способный
persistent упорный
lip-service неискренние
checking-room шах
redemptive спасительный
jury-rig временное
half-roll переворот
scotticize подражать
parapack ранец
silliness глупость
footlights огни
devise завещание
invisibility невидимость
acock набекрень
wriggler личинка
junto клика
perimorph периморфоза
nitre селитра
sado-masochism садо-мазохизм
emetic рвотный
frilly отделанный
snobby снобистский
multicultural относящийся
junta хунта
fondling любимец
horror-struck пораженный
contemporaneous современный
litharge глет
shebang лачуга
jelly-fish медуза
heather вереск
trellis решетка
guidon остроконечный
heathen язычник
miscalculation ошибка
belting ременная
canning консервирование
disrepair ветхость
prevarication увиливание
pay-out выплата
mabel мейбл
club-shaped утолщенный
gold-digger золотоискатель
chest-voice грудной
walkman плейер
audition слушание
disencumber освобождать
inelaborate неразработанный
nitty вшивый
victualling-yard продовольственные
aaal американская
cook-shop столовая
gnp валовой
anode анод
stingy скаредный
give-and-take взаимные
gnu гну
chibouque чубук
strapper здоровый
freshman первокурсник
scotchwoman шотландка
subtle тонкий
tutsan зверобой
moralistic моралистический
gob плевок
god бог
aaas американская
stingo крепкое
badness негодность
epitome конспект
correct правильный
gom белый
lade устье
pozzy варенье
goo что-л
reader читатель
cremate кремировать
panoramic панорамный
gop великая
completeness полнота
subtil возвышать
carving резьба
gate-legged стол
gov губернатор
liveried носящий
rancidity прогорклость
rearrange переделывать
institution установление
non-belligerence неучастие
undermost самый
ambition честолюбие
delightsome восхитительный
capitate имеющий
enlarge увеличивать
lacy кружевной
dapper опрятно
chieftain вождь
callous огрубелый
pylorus привратник
miniver мех
gpi графический
murder убийство
probationer испытуемый
loo-table карточный
nirvana нирвана
shipment погрузка
horsepower лошадиная
lace шнурок
outface смутить
pigmental пигментный
raddle радиальный
proximate ближайший
tractable послушный
alienation отдаление
gps глобальная
marmalade джем
gamete гамета
unutilized неиспользованный
lack недостаток
baboo господин
toast ломтик
brunch поздний
excusable извинительный
ingenuity изобретательность
misjudge составить
apterous бескрылый
lacteal млечный
longitudinal продольный
aacs служба
shocking потрясающий
policy-holder держатель
waxcloth линолеум
crested снабженный
intermixture смешение
deleterious вредный
sociable общительный
aerogram радиограмма
assignation назначение
accident-prone невезучий
jangle резкий
regional областной
parterre партер
facilitation облегчение
dendriform древовидный
stretchy тянущийся
date-line демаркационная
fundamentalizm фундаментализм
teen-age находящийся
weather-glass барометр
bead-roll список
flood-gate шлюз
sugary сахарный
hypothesize строить
lodging жилище
pithecanthrope питекантроп
connoisseur знаток
pre-capitalist докапиталистический
inkling намек
slanderous клеветнический
self-taught выучившийся
pulmonary легочный
unpardonable непростительный
evolution эволюция
